chr	start	end	replication_time	expression_CCLE	noncoding_mutation_rate
1	5200001	5300000	918	179	5.65E-06
1	5300001	5400000	898	34	5.75E-06
1	5400001	5500000	868	1511	3.54E-06
1	5500001	5600000	795	428	4.08E-06
1	5600001	5700000	740	896	3.98E-06
1	5700001	5800000	638	753	3.97E-06
1	5800001	5900000	578	978	3.44E-06
1	5900001	6000000	494	218528	1.63E-06
1	6000001	6100000	370	152233	2.11E-06
1	6100001	6200000	271	658252	2.00E-06
1	6200001	6300000	240	2817086	1.95E-06
1	6300001	6400000	205	817793	1.17E-06
1	6400001	6500000	176	256776	2.51E-06
1	6500001	6600000	198	858418	2.08E-06
1	6600001	6700000	203	1655653	1.54E-06
1	6700001	6800000	259	550492	1.83E-06
1	6800001	6900000	397	166368	1.61E-06
1	6900001	7000000	418	211228	1.16E-06
1	7000001	7100000	461	4964	2.04E-06
1	7100001	7200000	449	12453	2.03E-06
1	7200001	7300000	396	4618	2.15E-06
1	7300001	7400000	240	17989	2.30E-06
1	7400001	7500000	307	8891	2.40E-06
1	7500001	7600000	283	12410	2.20E-06
1	7600001	7700000	340	6064	2.27E-06
1	7700001	7800000	462	56142	2.20E-06
1	7800001	7900000	422	969687	1.43E-06
1	7900001	8000000	415	128943	2.25E-06
1	8000001	8100000	207	2465900	2.12E-06
1	8100001	8200000	141	24503	1.87E-06
1	8200001	8300000	166	17752	1.43E-06
1	8300001	8400000	256	16996	1.90E-06
1	8400001	8500000	321	1011155	1.62E-06
1	8500001	8600000	436	146296	1.61E-06
1	8600001	8700000	380	170665	1.69E-06
1	8700001	8800000	300	158930	1.23E-06
1	8800001	8900000	145	159992	1.84E-06
1	8900001	9000000	141	7295480	2.28E-06
1	9000001	9100000	171	71058	2.11E-06
1	9100001	9200000	264	249403	1.24E-06
1	9200001	9300000	201	163325	1.70E-06
1	9300001	9400000	297	746387	1.21E-06
1	9400001	9500000	281	190370	1.84E-06
1	9500001	9600000	252	28102	2.51E-06
1	9600001	9700000	268	541269	9.07E-07
1	9700001	9800000	204	1652594	1.38E-06
1	9800001	9900000	177	718939	1.40E-06
1	9900001	10000000	193	686880	1.04E-06
1	10000001	10100000	183	337887	1.53E-06
1	10100001	10200000	240	411994	1.31E-06
1	10200001	10300000	209	591240	2.16E-06
1	10300001	10400000	181	617545	1.59E-06
1	10400001	10500000	306	2345655	1.37E-06
1	10500001	10600000	383	1150024	9.01E-07
1	10600001	10700000	392	411899	7.52E-07
1	10700001	10800000	433	245552	1.20E-06
1	10800001	10900000	429	42445	1.60E-06
1	10900001	11000000	314	17402	1.48E-06
1	11000001	11100000	268	1684745	2.10E-06
1	11100001	11200000	307	2245709	1.70E-06
1	11200001	11300000	408	418933	1.27E-06
1	11300001	11400000	416	542568	1.50E-06
1	11400001	11500000	524	3710	3.08E-06
1	11500001	11600000	482	21424	3.91E-06
1	11600001	11700000	403	2227	3.28E-06
1	11700001	11800000	264	716533	1.07E-06
1	11800001	11900000	187	850257	1.36E-06
1	11900001	12000000	196	779127	1.33E-06
1	12000001	12100000	207	2530948	1.65E-06
1	12100001	12200000	199	54722	3.38E-06
1	12200001	12300000	191	296109	1.24E-06
1	12300001	12400000	263	408369	1.80E-06
1	12400001	12500000	340	275528	1.28E-06
1	12500001	12600000	242	267498	2.38E-06
1	12600001	12700000	230	528226	1.98E-06
1	12700001	12800000	294	603	2.82E-06
1	12800001	12900000	454	862	7.20E-06
1	12900001	13000000	571	55306	6.10E-06
1	13000001	13100000	792	108	7.52E-06
1	13100001	13200000	NaN	3075	6.74E-06
1	13200001	13300000	NaN	19	9.39E-06
1	13300001	13400000	NaN	87	5.36E-06
1	13400001	13500000	NaN	323	7.96E-06
1	13500001	13600000	NaN	436	2.15E-07
1	13600001	13700000	NaN	206	3.98E-06
1	13700001	13800000	NaN	1028	2.44E-06
1	13800001	13900000	854	9214	2.59E-06
1	13900001	14000000	864	70436	2.74E-06
1	14000001	14100000	843	135809	1.97E-06
1	14100001	14200000	892	553022	1.78E-06
1	14200001	14300000	916	14378	2.00E-06
1	14300001	14400000	947	17254	2.37E-06
1	14400001	14500000	996	4524	3.60E-06
1	14500001	14600000	949	29112	2.78E-06
1	14600001	14700000	915	34924	3.34E-06
1	14700001	14800000	869	35889	4.29E-06
1	14800001	14900000	836	16731	2.62E-06
1	14900001	15000000	869	25770	2.27E-06
1	15000001	15100000	802	34318	1.75E-06
1	15100001	15200000	754	17658	2.24E-06
1	15200001	15300000	648	40169	1.87E-06
1	15300001	15400000	620	198165	2.30E-06
1	15400001	15500000	516	124736	2.20E-06
1	15500001	15600000	432	204803	2.28E-06
1	15600001	15700000	226	87898	1.32E-06
1	15700001	15800000	212	1008912	1.51E-06
1	15800001	15900000	188	550956	1.36E-06
1	15900001	16000000	162	1249953	1.79E-06
1	16000001	16100000	154	797192	1.41E-06
1	16100001	16200000	174	1181136	1.24E-06
1	16200001	16300000	169	1676340	1.70E-06
1	16300001	16400000	170	66229	1.79E-06
1	16400001	16500000	197	1088958	2.02E-06
1	16500001	16600000	182	567376	1.16E-06
1	16600001	16700000	186	279047	1.92E-06
1	16700001	16800000	176	1920140	1.71E-06
1	16800001	16900000	191	262768	8.25E-06
1	16900001	17000000	259	870563	5.99E-06
1	17000001	17100000	304	748510	7.20E-06
1	17100001	17200000	343	13133	5.64E-06
1	17200001	17300000	247	312057	4.38E-06
1	17300001	17400000	221	1595692	2.25E-06
1	17400001	17500000	194	86757	2.49E-06
1	17500001	17600000	182	268601	3.19E-06
1	17600001	17700000	168	105162	1.96E-06
1	17700001	17800000	210	2361133	1.57E-06
1	17800001	17900000	196	36959	2.35E-06
1	17900001	18000000	194	245068	1.18E-06
1	18000001	18100000	279	129471	2.56E-06
1	18100001	18200000	416	43940	2.08E-06
1	18200001	18300000	466	1611	3.61E-06
1	18300001	18400000	553	125	3.29E-06
1	18400001	18500000	627	2218	3.43E-06
1	18500001	18600000	649	1541	3.37E-06
1	18600001	18700000	678	8414	3.22E-06
1	18700001	18800000	692	3778	2.99E-06
1	18800001	18900000	648	29906	2.37E-06
1	18900001	19000000	624	9019	2.33E-06
1	19000001	19100000	598	18078	1.86E-06
1	19100001	19200000	532	139928	1.88E-06
1	19200001	19300000	453	540495	1.25E-06
1	19300001	19400000	316	7993	2.42E-06
1	19400001	19500000	385	2829904	1.06E-06
1	19500001	19600000	414	2207310	1.33E-06
1	19600001	19700000	448	1944731	1.91E-06
1	19700001	19800000	429	537486	1.95E-06
1	19800001	19900000	408	151974	1.50E-06
1	19900001	20000000	271	1497170	2.05E-06
1	20000001	20100000	266	314367	1.37E-06
1	20100001	20200000	220	48014	1.54E-06
1	20200001	20300000	259	298558	2.48E-06
1	20300001	20400000	348	114319	2.30E-06
1	20400001	20500000	466	51335	2.26E-06
1	20500001	20600000	501	77547	1.60E-06
1	20600001	20700000	508	30049	2.52E-06
1	20700001	20800000	481	3215	2.12E-06
1	20800001	20900000	429	620803	2.31E-06
1	20900001	21000000	205	2629382	1.88E-06
1	21000001	21100000	208	1539378	2.23E-06
1	21100001	21200000	206	1217318	2.01E-06
1	21200001	21300000	354	499631	1.48E-06
1	21300001	21400000	406	160375	1.26E-06
1	21400001	21500000	339	209734	1.63E-06
1	21500001	21600000	125	1055910	2.04E-06
1	21600001	21700000	196	149969	1.53E-06
1	21700001	21800000	227	244281	4.31E-06
1	21800001	21900000	283	59562	1.92E-06
1	21900001	22000000	297	215455	1.40E-06
1	22000001	22100000	231	1018217	1.62E-06
1	22100001	22200000	181	1733627	2.16E-06
1	22200001	22300000	179	527532	1.15E-06
1	22300001	22400000	190	186740	3.30E-06
1	22400001	22500000	155	1303236	1.71E-06
1	22500001	22600000	307	18737	2.44E-06
1	22600001	22700000	493	2602	2.19E-06
1	22700001	22800000	562	21579	1.70E-06
1	22800001	22900000	555	491923	1.23E-06
1	22900001	23000000	541	8313	1.98E-06
1	23000001	23100000	532	59187	1.64E-06
1	23100001	23200000	464	212005	1.79E-06
1	23200001	23300000	386	516392	1.76E-06
1	23300001	23400000	199	833375	1.61E-06
1	23400001	23500000	153	1361649	9.90E-07
1	23500001	23600000	169	47195	2.08E-06
1	23600001	23700000	134	2518036	1.54E-06
1	23700001	23800000	163	343436	1.68E-06
1	23800001	23900000	159	1007935	1.51E-06
1	23900001	24000000	157	12571	2.03E-06
1	24000001	24100000	166	3764146	1.73E-06
1	24100001	24200000	225	1751947	2.33E-06
1	24200001	24300000	254	990555	2.02E-06
1	24300001	24400000	149	300869	1.99E-06
1	24400001	24500000	171	211975	1.44E-06
1	24500001	24600000	235	21132	3.14E-06
1	24600001	24700000	198	158935	2.14E-06
1	24700001	24800000	197	615996	1.18E-06
1	24800001	24900000	325	305581	1.64E-06
1	24900001	25000000	348	1197016	2.11E-06
1	25000001	25100000	158	223948	2.13E-06
1	25100001	25200000	198	1736224	2.20E-06
1	25200001	25300000	301	332689	2.54E-06
1	25300001	25400000	443	6790	1.95E-06
1	25400001	25500000	481	9054	1.71E-06
1	25500001	25600000	460	938669	1.69E-06
1	25600001	25700000	270	901460	1.81E-06
1	25700001	25800000	185	374226	1.63E-06
1	25800001	25900000	230	560848	2.61E-06
1	25900001	26000000	424	36556	8.60E-07
1	26000001	26100000	443	25185	8.40E-07
1	26100001	26200000	372	1637194	1.80E-06
1	26200001	26300000	190	1946938	9.16E-07
1	26300001	26400000	221	128804	1.40E-06
1	26400001	26500000	212	408974	1.55E-06
1	26500001	26600000	192	415104	1.20E-06
1	26600001	26700000	217	1638379	1.44E-06
1	26700001	26800000	181	690632	1.91E-06
1	26800001	26900000	167	1654267	2.59E-06
1	26900001	27000000	184	214009	2.10E-06
1	27000001	27100000	131	828359	1.11E-06
1	27100001	27200000	182	2030560	1.65E-06
1	27200001	27300000	188	1655912	1.27E-06
1	27300001	27400000	154	357880	2.48E-06
1	27400001	27500000	336	505728	1.05E-06
1	27500001	27600000	266	438407	2.49E-06
1	27600001	27700000	162	1240116	1.11E-06
1	27700001	27800000	188	1627413	1.18E-06
1	27800001	27900000	156	444560	1.72E-06
1	27900001	28000000	217	398011	1.87E-06
1	28000001	28100000	210	134997	1.61E-06
1	28100001	28200000	202	824427	1.62E-06
1	28200001	28300000	218	1018292	1.07E-06
1	28300001	28400000	272	338044	1.48E-06
1	28400001	28500000	316	685592	1.36E-06
1	28500001	28600000	213	1505267	1.71E-06
1	28600001	28700000	170	396808	2.13E-06
1	28700001	28800000	163	270951	1.24E-06
1	28800001	28900000	182	2699698	1.62E-06
1	28900001	29000000	183	644581	1.98E-06
1	29000001	29100000	128	1156734	2.07E-06
1	29100001	29200000	208	57685	1.82E-06
1	29200001	29300000	206	73544	2.04E-06
1	29300001	29400000	227	451814	9.56E-07
1	29400001	29500000	224	1705765	1.45E-06
1	29500001	29600000	235	627624	1.75E-06
1	29600001	29700000	395	358776	1.70E-06
1	29700001	29800000	486	307	2.80E-06
1	29800001	29900000	598	210	2.98E-06
1	29900001	30000000	646	2	NaN
1	30000001	30100000	NaN	492	3.02E-06
1	30100001	30200000	677	1525	2.65E-06
1	30200001	30300000	721	440	3.64E-06
1	30300001	30400000	829	546	2.97E-06
1	30400001	30500000	846	6358	2.74E-06
1	30500001	30600000	883	754	3.47E-06
1	30600001	30700000	842	625	2.85E-06
1	30700001	30800000	798	209	2.56E-06
1	30800001	30900000	748	1178	2.91E-06
1	30900001	31000000	714	4124	4.23E-06
1	31000001	31100000	606	2486	2.94E-06
1	31100001	31200000	493	40871	3.87E-06
1	31200001	31300000	411	692149	1.39E-06
1	31300001	31400000	246	754142	1.91E-06
1	31400001	31500000	269	1272542	1.51E-06
1	31500001	31600000	189	221023	1.88E-06
1	31600001	31700000	164	39639	2.57E-06
1	31700001	31800000	234	698335	1.43E-06
1	31800001	31900000	215	803154	1.64E-06
1	31900001	32000000	262	577375	2.76E-06
1	32000001	32100000	189	1196007	2.32E-06
1	32100001	32200000	197	346906	1.96E-06
1	32200001	32300000	173	241674	1.22E-06
1	32300001	32400000	183	1485708	1.83E-06
1	32400001	32500000	128	877630	1.39E-06
1	32500001	32600000	133	1750855	2.07E-06
1	32600001	32700000	218	4287164	1.43E-06
1	32700001	32800000	193	2112744	2.17E-06
1	32800001	32900000	210	1358221	1.76E-06
1	32900001	33000000	216	22266	2.18E-06
1	33000001	33100000	230	400216	1.45E-06
1	33100001	33200000	144	1500601	1.18E-06
1	33200001	33300000	195	3409865	1.25E-06
1	33300001	33400000	180	761862	1.51E-06
1	33400001	33500000	232	1676789	1.80E-06
1	33500001	33600000	233	249707	1.95E-06
1	33600001	33700000	264	178220	1.27E-06
1	33700001	33800000	385	1172055	1.58E-06
1	33800001	33900000	413	285315	1.71E-06
1	33900001	34000000	481	124005	1.98E-06
1	34000001	34100000	614	27280	2.08E-06
1	34100001	34200000	626	21353	3.56E-06
1	34200001	34300000	722	25086	3.39E-06
1	34300001	34400000	825	6185	3.34E-06
1	34400001	34500000	852	11072	4.18E-06
1	34500001	34600000	900	3835	6.13E-06
1	34600001	34700000	907	9969	3.84E-06
1	34700001	34800000	889	1930	4.92E-06
1	34800001	34900000	861	4320	2.47E-06
1	34900001	35000000	838	16132	3.40E-06
1	35000001	35100000	757	3322	4.07E-06
1	35100001	35200000	643	7899	3.76E-06
1	35200001	35300000	580	233620	2.35E-06
1	35300001	35400000	534	363683	2.28E-06
1	35400001	35500000	490	488607	1.82E-06
1	35500001	35600000	390	433190	3.19E-06
1	35600001	35700000	334	4006195	3.18E-06
1	35700001	35800000	380	85692	2.08E-06
1	35800001	35900000	406	1469616	1.22E-06
1	35900001	36000000	451	736781	1.44E-06
1	36000001	36100000	388	1500003	1.32E-06
1	36100001	36200000	325	638089	1.37E-06
1	36200001	36300000	303	727960	2.89E-06
1	36300001	36400000	273	1094879	1.54E-06
1	36400001	36500000	270	272275	1.85E-06
1	36500001	36600000	282	617525	8.48E-07
1	36600001	36700000	190	1572530	2.64E-06
1	36700001	36800000	170	2153623	2.28E-06
1	36800001	36900000	212	1045724	1.37E-06
1	36900001	37000000	181	734690	2.23E-06
1	37000001	37100000	347	793	2.47E-06
1	37100001	37200000	469	3742	4.71E-06
1	37200001	37300000	579	38838	2.89E-06
1	37300001	37400000	618	10771	2.76E-06
1	37400001	37500000	626	6905	3.28E-06
1	37500001	37600000	647	1119	3.19E-06
1	37600001	37700000	637	2841	4.75E-06
1	37700001	37800000	628	338	2.37E-06
1	37800001	37900000	485	7573	5.16E-06
1	37900001	38000000	357	697093	1.29E-06
1	38000001	38100000	169	1064143	2.50E-06
1	38100001	38200000	274	1002194	2.56E-06
1	38200001	38300000	375	1105854	2.79E-06
1	38300001	38400000	303	399570	2.40E-06
1	38400001	38500000	232	1460492	1.57E-06
1	38500001	38600000	231	42406	2.29E-06
1	38600001	38700000	374	615	2.86E-06
1	38700001	38800000	527	1062	2.73E-06
1	38800001	38900000	605	2072	4.15E-06
1	38900001	39000000	686	2043	3.49E-06
1	39000001	39100000	644	1596	3.26E-06
1	39100001	39200000	634	55025	3.57E-06
1	39200001	39300000	575	441	2.52E-06
1	39300001	39400000	458	849599	2.32E-06
1	39400001	39500000	318	1333848	2.31E-06
1	39500001	39600000	208	549294	1.75E-06
1	39600001	39700000	261	123748	1.52E-06
1	39700001	39800000	363	487706	1.27E-06
1	39800001	39900000	401	1574734	2.00E-06
1	39900001	40000000	352	1843054	2.11E-06
1	40000001	40100000	272	2037465	3.11E-06
1	40100001	40200000	358	20854	1.72E-06
1	40200001	40300000	388	610219	2.20E-06
1	40300001	40400000	241	493846	1.86E-06
1	40400001	40500000	270	231733	2.40E-06
1	40500001	40600000	387	3183206	2.25E-06
1	40600001	40700000	384	235559	1.61E-06
1	40700001	40800000	303	1281571	1.38E-06
1	40800001	40900000	373	561686	1.67E-06
1	40900001	41000000	438	386641	3.56E-06
1	41000001	41100000	457	205843	3.43E-06
1	41100001	41200000	421	262627	1.43E-06
1	41200001	41300000	323	493746	1.74E-06
1	41300001	41400000	188	192612	2.83E-06
1	41400001	41500000	125	1202944	1.72E-06
1	41500001	41600000	171	390382	1.47E-06
1	41600001	41700000	330	281608	2.06E-06
1	41700001	41800000	346	51277	1.83E-06
1	41800001	41900000	261	86211	1.49E-06
1	41900001	42000000	275	109583	2.28E-06
1	42000001	42100000	381	218904	1.60E-06
1	42100001	42200000	381	20947	2.33E-06
1	42200001	42300000	450	57212	2.11E-06
1	42300001	42400000	457	182116	1.95E-06
1	42400001	42500000	488	62148	1.64E-06
1	42500001	42600000	542	5269	2.32E-06
1	42600001	42700000	484	785453	1.33E-06
1	42700001	42800000	579	219473	1.59E-06
1	42800001	42900000	574	164331	2.75E-06
1	42900001	43000000	519	402708	2.03E-06
1	43000001	43100000	583	26464	1.54E-06
1	43100001	43200000	461	2502900	1.75E-06
1	43200001	43300000	426	791265	1.27E-06
1	43300001	43400000	327	1824460	1.23E-06
1	43400001	43500000	334	425797	1.43E-06
1	43500001	43600000	258	24919	1.80E-06
1	43600001	43700000	294	1071561	1.90E-06
1	43700001	43800000	264	210290	2.49E-06
1	43800001	43900000	252	2215919	1.26E-06
1	43900001	44000000	239	564659	1.72E-06
1	44000001	44100000	182	3222522	1.04E-06
1	44100001	44200000	198	866017	9.21E-07
1	44200001	44300000	209	137299	1.76E-06
1	44300001	44400000	230	328154	1.82E-06
1	44400001	44500000	214	2465305	1.08E-06
1	44500001	44600000	209	215888	3.04E-06
1	44600001	44700000	167	596102	3.08E-06
1	44700001	44800000	211	297196	1.83E-06
1	44800001	44900000	308	228373	2.41E-06
1	44900001	45000000	293	101807	2.13E-06
1	45000001	45100000	355	138663	1.67E-06
1	45100001	45200000	252	824112	1.10E-06
1	45200001	45300000	181	3096156	1.49E-06
1	45300001	45400000	191	351404	1.38E-06
1	45400001	45500000	185	1074616	1.81E-06
1	45500001	45600000	310	74575	1.96E-06
1	45600001	45700000	422	47292	2.91E-06
1	45700001	45800000	355	280001	1.96E-06
1	45800001	45900000	249	355826	1.89E-06
1	45900001	46000000	176	2736715	1.51E-06
1	46000001	46100000	161	2908798	2.17E-06
1	46100001	46200000	157	1212603	1.11E-06
1	46200001	46300000	146	108924	2.76E-06
1	46300001	46400000	151	65975	1.11E-06
1	46400001	46500000	416	622015	2.56E-06
1	46500001	46600000	318	684106	7.38E-07
1	46600001	46700000	175	1187948	1.77E-06
1	46700001	46800000	190	2104632	1.36E-06
1	46800001	46900000	205	591875	1.60E-06
1	46900001	47000000	255	38327	1.38E-06
1	47000001	47100000	221	577534	1.16E-06
1	47100001	47200000	266	1673513	1.21E-06
1	47200001	47300000	417	40032	2.85E-06
1	47300001	47400000	475	68647	3.87E-06
1	47400001	47500000	578	6140	3.21E-06
1	47500001	47600000	479	45793	2.21E-06
1	47600001	47700000	414	268943	2.10E-06
1	47700001	47800000	366	715995	2.15E-06
1	47800001	47900000	210	1237735	1.50E-06
1	47900001	48000000	347	78003	2.40E-06
1	48000001	48100000	478	4666	1.59E-06
1	48100001	48200000	519	8591	3.25E-06
1	48200001	48300000	418	18888	2.56E-06
1	48300001	48400000	372	7815	2.18E-06
1	48400001	48500000	353	9475	2.85E-06
1	48500001	48600000	301	2091	2.60E-06
1	48600001	48700000	287	20709	3.97E-06
1	48700001	48800000	480	81522	2.08E-06
1	48800001	48900000	543	54594	2.37E-06
1	48900001	49000000	691	127300	2.55E-06
1	49000001	49100000	780	1762	2.86E-06
1	49100001	49200000	844	3400	1.88E-06
1	49200001	49300000	886	16465	2.51E-06
1	49300001	49400000	905	3990	2.97E-06
1	49400001	49500000	913	5790	3.98E-06
1	49500001	49600000	988	2381	3.91E-06
1	49600001	49700000	997	5271	4.10E-06
1	49700001	49800000	1006	2480	5.48E-06
1	49800001	49900000	1041	3075	3.03E-06
1	49900001	50000000	1023	7389	3.60E-06
1	50000001	50100000	975	5648	5.80E-06
1	50100001	50200000	992	4067	4.98E-06
1	50200001	50300000	990	2395	4.36E-06
1	50300001	50400000	937	1496	5.72E-06
1	50400001	50500000	926	2623	4.91E-06
1	50500001	50600000	905	3067	3.42E-06
1	50600001	50700000	824	19448	3.63E-06
1	50700001	50800000	708	2681	4.34E-06
1	50800001	50900000	639	50718	2.11E-06
1	50900001	51000000	590	384189	1.51E-06
1	51000001	51100000	678	411865	1.58E-06
1	51100001	51200000	691	223709	1.40E-06
1	51200001	51300000	644	202361	1.64E-06
1	51300001	51400000	531	107971	2.43E-06
1	51400001	51500000	417	511121	3.10E-06
1	51500001	51600000	352	4950	2.48E-06
1	51600001	51700000	361	11460	2.31E-06
1	51700001	51800000	305	807029	1.04E-06
1	51800001	51900000	281	703113	2.60E-06
1	51900001	52000000	251	278699	2.40E-06
1	52000001	52100000	157	84431	2.43E-06
1	52100001	52200000	150	122224	1.72E-06
1	52200001	52300000	288	2500742	1.46E-06
1	52300001	52400000	382	988474	1.73E-06
1	52400001	52500000	353	808291	2.50E-06
1	52500001	52600000	315	732727	2.41E-06
1	52600001	52700000	287	67145	2.94E-06
1	52700001	52800000	367	268334	1.45E-06
1	52800001	52900000	448	1540173	1.02E-06
1	52900001	53000000	394	582934	1.71E-06
1	53000001	53100000	355	81565	1.14E-06
1	53100001	53200000	261	499498	1.80E-06
1	53200001	53300000	232	1528748	1.64E-06
1	53300001	53400000	205	562374	1.56E-06
1	53400001	53500000	311	440792	2.63E-06
1	53500001	53600000	386	523086	1.72E-06
1	53600001	53700000	391	780025	2.08E-06
1	53700001	53800000	258	1218893	2.28E-06
1	53800001	53900000	310	55787	3.62E-06
1	53900001	54000000	385	60825	2.03E-06
1	54000001	54100000	368	45191	1.91E-06
1	54100001	54200000	391	13024	2.01E-06
1	54200001	54300000	383	1045310	1.81E-06
1	54300001	54400000	319	547465	1.99E-06
1	54400001	54500000	174	916123	1.90E-06
1	54500001	54600000	201	970225	1.37E-06
1	54600001	54700000	225	1465190	2.57E-06
1	54700001	54800000	313	141488	1.31E-06
1	54800001	54900000	369	91125	1.76E-06
1	54900001	55000000	287	3902	2.93E-06
1	55000001	55100000	309	236138	1.91E-06
1	55100001	55200000	415	268416	2.31E-06
1	55200001	55300000	343	309398	1.24E-06
1	55300001	55400000	249	3037623	1.74E-06
1	55400001	55500000	190	23921	2.20E-06
1	55500001	55600000	217	1563123	8.30E-07
1	55600001	55700000	230	374092	1.33E-06
1	55700001	55800000	282	2951	1.81E-06
1	55800001	55900000	297	518	2.23E-06
1	55900001	56000000	379	397	3.09E-06
1	56000001	56100000	413	349	2.84E-06
1	56100001	56200000	413	252	3.05E-06
1	56200001	56300000	411	288	4.16E-06
1	56300001	56400000	424	314	3.53E-06
1	56400001	56500000	462	7295	3.93E-06
1	56500001	56600000	501	6645	3.36E-06
1	56600001	56700000	520	4389	2.54E-06
1	56700001	56800000	554	11493	2.77E-06
1	56800001	56900000	579	19440	1.64E-06
1	56900001	57000000	616	174624	2.19E-06
1	57000001	57100000	563	75936	3.26E-06
1	57100001	57200000	454	197289	2.86E-06
1	57200001	57300000	514	3686	3.35E-06
1	57300001	57400000	611	4019	3.22E-06
1	57400001	57500000	713	9588	3.42E-06
1	57500001	57600000	810	3380	4.19E-06
1	57600001	57700000	885	2344	4.43E-06
1	57700001	57800000	908	2367	3.78E-06
1	57800001	57900000	929	2460	3.67E-06
1	57900001	58000000	979	1729	3.34E-06
1	58000001	58100000	974	2963	4.44E-06
1	58100001	58200000	1004	1159	3.28E-06
1	58200001	58300000	975	1927	3.35E-06
1	58300001	58400000	951	1350	3.34E-06
1	58400001	58500000	935	909	3.34E-06
1	58500001	58600000	915	65004	3.16E-06
1	58600001	58700000	876	6995	2.53E-06
1	58700001	58800000	824	12975	2.84E-06
1	58800001	58900000	750	21059	1.96E-06
1	58900001	59000000	641	154288	1.95E-06
1	59000001	59100000	564	1584153	2.76E-06
1	59100001	59200000	517	709668	1.40E-06
1	59200001	59300000	419	1304827	9.06E-07
1	59300001	59400000	414	13435	1.75E-06
1	59400001	59500000	421	28257	2.41E-06
1	59500001	59600000	471	12481	1.57E-06
1	59600001	59700000	505	2445	1.93E-06
1	59700001	59800000	538	32862	1.35E-06
1	59800001	59900000	560	25914	2.61E-06
1	59900001	60000000	609	30161	2.25E-06
1	60000001	60100000	686	38500	2.73E-06
1	60100001	60200000	728	47240	2.34E-06
1	60200001	60300000	722	92127	1.89E-06
1	60300001	60400000	747	462021	1.32E-06
1	60400001	60500000	824	718	3.76E-06
1	60500001	60600000	942	7312	2.83E-06
1	60600001	60700000	967	1444	3.22E-06
1	60700001	60800000	951	8925	4.37E-06
1	60800001	60900000	949	13640	2.91E-06
1	60900001	61000000	895	24571	4.03E-06
1	61000001	61100000	883	114531	2.74E-06
1	61100001	61200000	790	12838	3.39E-06
1	61200001	61300000	649	3033	3.09E-06
1	61300001	61400000	518	5296	2.59E-06
1	61400001	61500000	410	5580	2.66E-06
1	61500001	61600000	228	157904	1.65E-06
1	61600001	61700000	218	115911	1.51E-06
1	61700001	61800000	367	83942	1.99E-06
1	61800001	61900000	399	83260	2.00E-06
1	61900001	62000000	325	238312	1.81E-06
1	62000001	62100000	264	5055	2.78E-06
1	62100001	62200000	296	312541	1.91E-06
1	62200001	62300000	196	225423	1.80E-06
1	62300001	62400000	338	227329	1.85E-06
1	62400001	62500000	417	132724	2.79E-06
1	62500001	62600000	469	256280	1.59E-06
1	62600001	62700000	422	264966	2.60E-06
1	62700001	62800000	378	169952	2.65E-06
1	62800001	62900000	331	2469	1.83E-06
